METAR,RCKU,081600Z,360,06KT,9999,FEW012 BKN050,10,05,Q1023,A3023,,,,,,,
METAR,RCKU,081500Z,350,05KT,9999,FEW012 BKN050,09,04,Q1024,A3024,,,,,,,
METAR,RCKU,081400Z,350,06KT,9999,FEW012 SCT040,09,04,Q1024,A3025,,,,,,,
METAR,RCKU,081330Z,350,06KT,9999,FEW012,09,04,Q1024,A3024,,,,,,,
METAR,RCKU,081300Z,350,07KT,9999,FEW012,09,04,Q1024,A3024,,,,,,,
METAR,RCKU,081230Z,350,08KT,9999,FEW012 SCT040,10,04,Q1024,A3024,,,,,,,
METAR,RCKU,081200Z,350,11KT,9999,FEW012 SCT040,11,03,Q1024,A3024,,,,,,,
METAR,RCKU,081130Z,350,12KT,9999,FEW012,11,03,Q1024,A3024,,,,,,,
METAR,RCKU,081100Z,350,14KT,9999,FEW012 SCT040,11,04,Q1023,A3023,,,,,,,
METAR,RCKU,081030Z,350,13KT,9999,FEW012 BKN040,12,04,Q1023,A3022,,,,,,,
METAR,RCKU,081000Z,350,13KT,9999,FEW012 BKN040,13,05,Q1023,A3022,,,,,,,
METAR,RCKU,080930Z,350,14KT,9999,FEW012 SCT030 BKN060,14,05,Q1023,A3021,,,,,,,
METAR,RCKU,080900Z,350,15KT,9999,FEW012 SCT030 BKN060,15,05,Q1022,NOSIG,A3020,,,,,,
METAR,RCKU,080830Z,350,15KT,9999,FEW012 SCT030 BKN060,16,06,Q1022,NOSIG,A3019,,,,,,
METAR,RCKU,080800Z,350,14KT,9999,FEW012 SCT030 BKN080,16,06,Q1022,NOSIG,A3018,,,,,,
METAR,RCKU,080730Z,350,15KT,9999,FEW012 BKN050 BKN080,16,06,Q1021,NOSIG,A3017,,,,,,
METAR,RCKU,080700Z,360,14KT,9999,FEW012 BKN030 BKN050,15,06,Q1021,NOSIG,A3017,,,,,,
METAR,RCKU,080630Z,350,14KT,9999,FEW012 BKN020 BKN040,15,06,Q1022,NOSIG,A3018,,,,,,
METAR,RCKU,080600Z,360,13KT,9999,FEW012 BKN020 BKN040,15,07,Q1022,NOSIG,A3019,,,,,,
METAR,RCKU,080530Z,360,14KT,9999,FEW012 BKN020 BKN040,15,07,Q1022,NOSIG,A3020,,,,,,
METAR,RCKU,080500Z,360,16KT,9999,FEW012 BKN020 BKN040,14,07,Q1023,NOSIG,A3021,,,,,,
METAR,RCKU,080430Z,360,15KT,9999,FEW012 BKN020 BKN040,14,07,Q1023,NOSIG,A3022,,,,,,
METAR,RCKU,080400Z,360,15KT,9999,FEW012 BKN020 BKN040,13,07,Q1024,NOSIG,A3024,,,,,,
METAR,RCKU,080330Z,350,14KT,9999,FEW012 BKN020 BKN040,13,07,Q1024,NOSIG,A3025,,,,,,
METAR,RCKU,080300Z,350,16KT,9999,FEW012 BKN020 BKN040,14,08,Q1024,NOSIG,A3024,,,,,,
METAR,RCKU,080230Z,350,13KT,9999,FEW012 BKN020 BKN040,15,08,Q1024,NOSIG,A3024,,,,,,
METAR,RCKU,080200Z,010,13KT,9999,FEW012 BKN016 BKN030,14,08,Q1023,NOSIG,A3023,,,,,,
METAR,RCKU,080130Z,350,15KT,9999,FEW012 BKN016 BKN030,13,08,Q1024,NOSIG,A3025,,,,,,
METAR,RCKU,080100Z,360,15KT,9999,FEW012 BKN016 BKN030,13,08,Q1024,NOSIG,A3024,,,,,,
METAR,RCKU,080030Z,360,16KT,9999,FEW012 SCT020 BKN040,13,08,Q1024,NOSIG,A3024,,,,,,
METAR,RCKU,080000Z,360,15KT,9999,FEW012 SCT030 BKN060,13,09,Q1023,NOSIG,A3023,,,,,,
METAR,RCKU,072330Z,360,14KT,9999,FEW012 SCT030 BKN060,13,09,Q1023,NOSIG,A3022,,,,,,
METAR,RCKU,072300Z,360,13KT,9999,FEW010 BKN021 BKN040,13,09,Q1023,NOSIG,A3021,,,,,,
METAR,RCKU,072230Z,360,13KT,9999,FEW008 BKN016 BKN030,13,09,Q1022,NOSIG,A3019,,,,,,
SPECI,RCKU,072220Z,020,02KT,1200,R36,0500U,BR,BKN004,15,15,Q1018,BECMG,TL2300,1200,BR,A3008
METAR,RCKU,072200Z,360,13KT,9999,FEW008 BKN016 BKN030,13,09,Q1022,NOSIG,A3018,,,,,,
METAR,RCKU,072130Z,360,15KT,9999,FEW008 BKN016 BKN040,13,09,Q1021,NOSIG,A3016,,,,,,
METAR,RCKU,072100Z,360,14KT,9999,FEW012 BKN021 BKN040,13,09,Q1020,NOSIG,A3014,,,,,,
METAR,RCKU,072030Z,360,12KT,9999,FEW012 BKN021 BKN060,13,09,Q1020,A3013,,,,,,,
METAR,RCKU,072000Z,350,12KT,9999,FEW012 SCT021 BKN060,13,10,Q1020,A3012,,,,,,,
METAR,RCKU,071900Z,360,09KT,9999,FEW012 BKN060,13,10,Q1020,A3013,,,,,,,
METAR,RCKU,071800Z,350,10KT,9999,FEW012 BKN080,13,10,Q1020,A3013,,,,,,,
METAR,RCKU,071700Z,360,07KT,9999,FEW012 BKN060,14,11,Q1020,A3012,,,,,,,
METAR,RCKU,071600Z,350,08KT,9999,FEW012 BKN060,14,11,Q1020,A3014,RA,AMT,T,,,,
