METAR,RCKU,121700Z,000,00KT,7000,FEW012,15,14,Q1018,A3006,,
METAR,RCKU,121600Z,350,02KT,8000,FEW012,15,14,Q1018,A3007,,
METAR,RCKU,121500Z,320,02KT,9000,FEW012,15,15,Q1018,A3007,,
METAR,RCKU,121400Z,350,05KT,9999,FEW012,15,14,Q1018,A3008,,
METAR,RCKU,121330Z,350,04KT,9999,FEW012,16,15,Q1018,A3008,,
METAR,RCKU,121300Z,350,06KT,9999,FEW012,16,15,Q1018,A3008,,
METAR,RCKU,121230Z,350,07KT,9999,FEW012,16,15,Q1018,A3008,,
METAR,RCKU,121200Z,350,07KT,9999,FEW012,17,15,Q1018,A3007,,
METAR,RCKU,121130Z,350,07KT,9999,FEW012,17,15,Q1018,A3007,,
METAR,RCKU,121100Z,350,07KT,9999,FEW012,18,15,Q1018,A3007,,
METAR,RCKU,121030Z,350,06KT,9999,FEW012,18,15,Q1018,A3007,,
METAR,RCKU,121000Z,340,08KT,9999,FEW012,20,16,Q1018,A3006,,
METAR,RCKU,120930Z,340,10KT,9999,FEW012,21,16,Q1018,A3006,,
METAR,RCKU,120900Z,350,10KT,9999,FEW012,22,16,Q1017,NOSIG,A3006,
METAR,RCKU,120830Z,330,10KT,9999,FEW012,23,16,Q1017,NOSIG,A3005,
METAR,RCKU,120800Z,340,11KT,9999,FEW012,24,15,Q1017,NOSIG,A3005,
METAR,RCKU,120730Z,340,10KT,9999,FEW012,25,15,Q1017,NOSIG,A3004,
METAR,RCKU,120700Z,340,10KT,9999,FEW012,25,15,Q1017,NOSIG,A3004,
METAR,RCKU,120630Z,340,10KT,9999,FEW012,25,15,Q1017,NOSIG,A3005,
METAR,RCKU,120600Z,340,11KT,9999,FEW012,25,15,Q1017,NOSIG,A3005,
METAR,RCKU,120530Z,340,11KT,9999,FEW012,25,15,Q1018,NOSIG,A3006,
METAR,RCKU,120500Z,340,08KT,9999,FEW012,25,15,Q1018,NOSIG,A3008,
METAR,RCKU,120430Z,340,08KT,9999,FEW012,24,15,Q1019,NOSIG,A3009,
METAR,RCKU,120400Z,330,07KT,9999,FEW012,24,15,Q1019,NOSIG,A3011,
METAR,RCKU,120330Z,340,07KT,9999,FEW012,23,15,Q1020,NOSIG,A3013,
METAR,RCKU,120300Z,320,06KT,9999,FEW012,22,15,Q1020,NOSIG,A3014,
METAR,RCKU,120230Z,330,05KT,9999,FEW012,21,15,Q1021,NOSIG,A3015,
METAR,RCKU,120200Z,320,05KT,9999,FEW012,20,14,Q1021,NOSIG,A3015,
METAR,RCKU,120130Z,340,04KT,8000,FEW012,19,15,Q1021,NOSIG,A3015,
METAR,RCKU,120100Z,010,03KT,8000,FEW012,18,14,Q1020,NOSIG,A3014,
METAR,RCKU,120030Z,020,06KT,7000,FEW010 SCT200,16,14,Q1020,NOSIG,A3014,
METAR,RCKU,120000Z,030,05KT,6000,FEW010,15,14,Q1020,NOSIG,A3014,
METAR,RCKU,112330Z,360,04KT,6000,FEW010,13,13,Q1020,NOSIG,A3014,
METAR,RCKU,112300Z,010,04KT,5000,BR,FEW008,13,12,Q1020,NOSIG,A3013
SPECI,RCKU,112235Z,360,04KT,5000,BR,FEW008,12,12,Q1020,NOSIG,A3013
METAR,RCKU,112230Z,350,04KT,6000,FEW008,12,12,Q1020,NOSIG,A3012,
METAR,RCKU,112200Z,350,06KT,6000,FEW008,13,12,Q1019,NOSIG,A3011,
METAR,RCKU,112130Z,350,05KT,6000,FEW012,13,12,Q1019,NOSIG,A3010,
METAR,RCKU,112100Z,340,04KT,6000,FEW012,13,12,Q1019,NOSIG,A3009,
METAR,RCKU,112030Z,010,04KT,6000,FEW012,13,12,Q1018,A3009,,
METAR,RCKU,112000Z,360,05KT,7000,FEW012,13,12,Q1019,A3009,,
METAR,RCKU,111900Z,350,03KT,8000,FEW012,13,12,Q1019,A3009,,
METAR,RCKU,111800Z,350,04KT,9000,FEW012,13,12,Q1019,A3009,,
METAR,RCKU,111700Z,010,06KT,9999,FEW012,14,13,Q1019,A3011,,
